method,seed,episodes,progress,opponent,mean_reward
PPO,0,134400,0.35,CFR2000,-0.1289592550402717
PPO,0,153600,0.4,CFR100,-0.25298859667259915
PPO,0,153600,0.4,CFR500,-0.25586899133905755
PPO,0,153600,0.4,CFR1000,-0.25809207394071587
PPO,0,153600,0.4,CFR2000,-0.26330198995895643
PPO,0,172800,0.45,CFR100,-0.18116369957221068
PPO,0,172800,0.45,CFR500,-0.1800479171817636
PPO,0,172800,0.45,CFR1000,-0.18481092088183634
PPO,0,172800,0.45,CFR2000,-0.18859825931805138
PPO,0,192000,0.5,CFR100,-0.2684211478819882
PPO,0,192000,0.5,CFR500,-0.25395488235978103
PPO,0,192000,0.5,CFR1000,-0.25406096699856434
PPO,0,192000,0.5,CFR2000,-0.2537789067720855
PPO,0,211200,0.55,CFR100,-0.30190406974718115
PPO,0,211200,0.55,CFR500,-0.26154638328177054
PPO,0,211200,0.55,CFR1000,-0.23206437394215254
PPO,0,211200,0.55,CFR2000,-0.23489251311212217
PPO,0,230400,0.6,CFR100,-0.3238383735040059
PPO,0,230400,0.6,CFR500,-0.29215908459045825
PPO,0,230400,0.6,CFR1000,-0.26174104035704426
PPO,0,230400,0.6,CFR2000,-0.2657871082741426
PPO,0,249600,0.65,CFR100,-0.35822931519305556
PPO,0,249600,0.65,CFR500,-0.31808594726579437
PPO,0,249600,0.65,CFR1000,-0.2784386323917535
PPO,0,249600,0.65,CFR2000,-0.2740173089027499
PPO,0,268800,0.7,CFR100,-0.4119446508617233
PPO,0,268800,0.7,CFR500,-0.3173092024321186
PPO,0,268800,0.7,CFR1000,-0.26744502560339367
PPO,0,268800,0.7,CFR2000,-0.2558479409505236
PPO,0,288000,0.75,CFR100,-0.40566440021364225
PPO,0,288000,0.75,CFR500,-0.35465826428833164
PPO,0,288000,0.75,CFR1000,-0.3031304954358658
PPO,0,288000,0.75,CFR2000,-0.29816392754983984
PPO,0,307200,0.8,CFR100,-0.3362569711299562
PPO,0,307200,0.8,CFR500,-0.3346523415241441
PPO,0,307200,0.8,CFR1000,-0.34093207416547927
PPO,0,307200,0.8,CFR2000,-0.3242578858804645
PPO,0,326400,0.85,CFR100,-0.3476614813303185
PPO,0,326400,0.85,CFR500,-0.34026770657247574
PPO,0,326400,0.85,CFR1000,-0.34309906332011564
PPO,0,326400,0.85,CFR2000,-0.3298536900627186
PPO,0,345600,0.9,CFR100,-0.3671343773661885
PPO,0,345600,0.9,CFR500,-0.34607553712305483
PPO,0,345600,0.9,CFR1000,-0.3507284549115167
PPO,0,345600,0.9,CFR2000,-0.33753974603015313
PPO,0,364800,0.95,CFR100,-0.38735940683723846
PPO,0,364800,0.95,CFR500,-0.3901758377813312
PPO,0,364800,0.95,CFR1000,-0.3969706945856579
PPO,0,364800,0.95,CFR2000,-0.37920595388072037
PPO,0,384000,1.0,CFR100,-0.36447902815645017
PPO,0,384000,1.0,CFR500,-0.3506271711647588
PPO,0,384000,1.0,CFR1000,-0.33954564870368087
PPO,0,384000,1.0,CFR2000,-0.3289374700520886
